customer_id,churn_probability,predicted_churn,actual_churn_next_30_days
CUST025026,0.8898,1,1
CUST020499,0.4898,0,0
CUST001658,0.0512,0,0
CUST044227,0.1809,0,0
CUST001102,0.2459,0,0
CUST003703,0.0428,0,0
CUST005485,0.1196,0,0
CUST010550,0.3421,0,0
CUST025682,0.3181,0,1
CUST005443,0.0461,0,0
CUST020243,0.0506,0,0
CUST042465,0.5293,1,0
CUST006842,0.6561,1,0
CUST042692,0.1975,0,0
CUST018780,0.1336,0,0
CUST035942,0.1456,0,0
CUST049849,0.8407,1,0
CUST005461,0.8352,1,0
CUST015641,0.5673,1,0
CUST003537,0.0921,0,0
CUST048719,0.8953,1,0
CUST042881,0.2934,0,0
CUST036780,0.6637,1,0
CUST033174,0.6095,1,0
CUST028372,0.0826,0,0
CUST026625,0.0684,0,0
CUST036598,0.1048,0,0
CUST043316,0.0453,0,0
CUST025704,0.1086,0,0
CUST023274,0.4125,0,0
CUST047333,0.5963,1,0
CUST014152,0.1817,0,0
CUST017940,0.0979,0,0
CUST037477,0.1359,0,0
CUST035495,0.0675,0,0
CUST033237,0.337,0,0
CUST047842,0.0414,0,0
CUST038512,0.0553,0,0
CUST020066,0.1162,0,0
CUST002170,0.0752,0,0
CUST020266,0.0675,0,0
CUST036693,0.4234,0,0
CUST018157,0.1147,0,0
CUST017441,0.1685,0,0
CUST020393,0.3412,0,0
CUST005351,0.076,0,0
CUST017041,0.2687,0,0
CUST007943,0.4252,0,0
CUST000991,0.0791,0,0
CUST037047,0.7245,1,0
CUST042411,0.1836,0,0
CUST033024,0.7365,1,0
CUST027286,0.0842,0,0
CUST038998,0.0532,0,0
CUST044474,0.0609,0,0
CUST011279,0.1437,0,0
CUST020509,0.2183,0,0
CUST013656,0.0419,0,0
CUST043183,0.1276,0,0
CUST003202,0.0675,0,0
CUST014858,0.0615,0,0
CUST016253,0.4876,0,0
CUST038883,0.1648,0,0
CUST023148,0.852,1,0
CUST045344,0.1079,0,0
CUST022999,0.8951,1,0
CUST018202,0.0753,0,0
CUST036821,0.1177,0,0
CUST021790,0.3423,0,0
CUST028834,0.0799,0,0
CUST016799,0.1256,0,0
CUST035842,0.0584,0,0
CUST004112,0.6341,1,0
CUST045969,0.1055,0,0
CUST000186,0.1511,0,0
CUST044043,0.1313,0,0
CUST003153,0.2537,0,0
CUST013427,0.8991,1,1
CUST037836,0.3584,0,0
CUST009752,0.0962,0,0
CUST002276,0.065,0,0
CUST010771,0.4497,0,0
CUST001125,0.0626,0,0
CUST022588,0.0829,0,0
CUST035025,0.0513,0,0
CUST018366,0.0643,0,0
CUST025960,0.2412,0,0
CUST021240,0.5268,1,0
CUST002684,0.841,1,0
CUST025917,0.8018,1,0
CUST032504,0.1128,0,0
CUST009885,0.1218,0,0
CUST006820,0.3193,0,0
CUST028732,0.282,0,0
CUST025029,0.2746,0,0
CUST044523,0.0478,0,0
CUST027654,0.3592,0,0
CUST024305,0.0562,0,0
CUST039635,0.2738,0,0
CUST004698,0.2389,0,0
CUST008743,0.0553,0,0
CUST047275,0.1428,0,0
CUST002885,0.1783,0,0
CUST017913,0.0883,0,0
CUST040564,0.7774,1,0
CUST020027,0.087,0,0
CUST046066,0.3602,0,0
CUST013390,0.5134,1,0
CUST003262,0.1685,0,0
CUST032901,0.0889,0,0
CUST013299,0.0385,0,0
CUST029637,0.0975,0,0
CUST045394,0.068,0,0
CUST002645,0.1068,0,0
CUST037272,0.1571,0,0
CUST046128,0.1684,0,0
CUST035049,0.0709,0,0
CUST012594,0.0413,0,0
CUST005642,0.0704,0,0
CUST036531,0.198,0,0
CUST020878,0.2927,0,0
CUST035862,0.0716,0,0
CUST036016,0.2673,0,0
CUST024853,0.1353,0,0
CUST020297,0.0576,0,0
CUST010889,0.0993,0,0
CUST029856,0.178,0,0
CUST030883,0.0529,0,0
