ticket_id,customer_id,ticket_date,issue_category,support_channel,priority,resolution_hours,resolved_flag,satisfaction_score,repeat_contact_flag
TKT00016822,CUST022702,2025-11-10,Delivery Problem,Chat,High,19.11,Yes,4,No
TKT00019332,CUST041273,2024-11-15,Refund Request,Social Media,High,12.18,Yes,3,No
TKT00001356,CUST038653,2026-04-28,Payment Failure,Phone,Low,40.22,Yes,3,No
TKT00020262,CUST045485,2026-05-29,General Question,Phone,Medium,13.9,Yes,5,No
TKT00012284,CUST000632,2024-11-09,Refund Request,Help Center,Medium,21.01,Yes,4,Yes
TKT00031711,CUST043186,2026-05-30,Membership Billing,Phone,Low,27.95,Yes,2,No
TKT00032496,CUST004362,2026-02-14,Cancellation Request,Help Center,High,12.73,Yes,2,No
TKT00019624,CUST016880,2026-03-20,General Question,Phone,Low,2.83,Yes,3,No
TKT00011909,CUST028999,2026-05-05,Membership Billing,Chat,Low,,No,,No
TKT00005747,CUST046588,2025-07-15,Membership Billing,Chat,Medium,6.87,Yes,3,No
TKT00027328,CUST004160,2026-01-09,Prime Video Issue,Help Center,Medium,25.05,Yes,2,No
TKT00023343,CUST034562,2026-05-23,Cancellation Request,Chat,Low,4.3,Yes,4,No
TKT00025414,CUST038197,2025-10-01,General Question,Chat,Low,24.48,Yes,4,No
TKT00002102,CUST009684,2025-10-16,Payment Failure,Email,High,5.76,Yes,4,No
TKT00004905,CUST049354,2025-05-27,Payment Failure,Email,Critical,7.81,Yes,3,Yes
TKT00017050,CUST017541,2025-11-02,Account Access,Phone,High,,No,,Yes
TKT00033926,CUST048082,2025-04-17,Account Access,Phone,High,15.99,Yes,2,No
TKT00015251,CUST001161,2026-06-19,Prime Video Issue,Phone,High,5.12,Yes,3,No
TKT00025218,CUST035515,2025-11-13,Payment Failure,Phone,Low,,No,,No
TKT00034151,CUST009141,2024-12-03,Delivery Problem,Phone,Low,14.14,Yes,3,No
TKT00034403,CUST028871,2026-03-04,Refund Request,Chat,High,2.36,Yes,4,No
TKT00022539,CUST021076,2026-01-16,Delivery Problem,Phone,High,14.93,Yes,4,No
TKT00023220,CUST040597,2025-10-26,Refund Request,Social Media,Medium,6.47,Yes,4,No
TKT00013403,CUST046340,2026-02-21,Prime Video Issue,Chat,Medium,21.64,Yes,4,No
TKT00021993,CUST017940,2026-05-26,Cancellation Request,Email,Medium,,No,,No
TKT00014162,CUST038648,2026-06-16,Membership Billing,Phone,Medium,23.79,Yes,4,No
TKT00016506,CUST025768,2026-03-21,Account Access,Help Center,Low,7.82,Yes,3,No
TKT00015194,CUST021052,2024-11-18,Prime Video Issue,Email,Low,16.72,Yes,3,No
TKT00013736,CUST041824,2026-03-17,Account Access,Email,Low,,No,,No
TKT00023808,CUST012474,2025-10-11,Prime Video Issue,Chat,High,2.65,Yes,4,Yes
TKT00031296,CUST020655,2025-11-25,Membership Billing,Chat,Low,4.03,Yes,4,No
TKT00026366,CUST025485,2026-04-16,Account Access,Chat,Critical,2.31,Yes,4,No
TKT00010597,CUST045061,2025-10-07,Prime Video Issue,Help Center,Medium,8.72,Yes,3,No
TKT00002201,CUST031178,2026-06-13,Prime Video Issue,Chat,High,4.53,Yes,4,No
