rank,feature,importance,importance_percent
1,auto_renew_enabled,0.6765446977022129,67.6545
2,days_since_last_activity,0.11971780722302966,11.9718
3,tenure_months,0.06410610762181705,6.4106
4,total_active_days,0.040904286900150605,4.0904
5,days_since_last_video_activity,0.017962608532580037,1.7963
6,average_satisfaction_score,0.014269157819048672,1.4269
7,days_since_last_order,0.013456317492150255,1.3456
8,average_completion_rate,0.011086806311949889,1.1087
9,shipping_fee_saved,0.00856120479722334,0.8561
10,orders_last_30_days,0.008073013490415741,0.8073
11,customer_segment,0.004662757393287531,0.4663
12,orders_last_90_days,0.0029560886774715176,0.2956
13,watch_minutes_last_30_days,0.0026545819992668134,0.2655
14,support_tickets_last_90_days,0.0026052171735736294,0.2605
15,spend_last_90_days,0.0022822971460146084,0.2282
16,average_order_value,0.001928269802368819,0.1928
17,primary_device,0.0015161782049270818,0.1516
18,watch_minutes_last_90_days,0.0011443293530755607,0.1144
19,country,0.0011187877351115617,0.1119
20,engagement_score,0.0010669471893473969,0.1067
21,return_rate,0.0007565520084453122,0.0757
22,average_resolution_hours,0.0006628353320366703,0.0663
23,discount_applied,0.0006006934017459407,0.0601
24,video_sessions_last_90_days,0.0003503190881644518,0.035
25,billing_cycle,0.0003252594802996842,0.0325
26,payment_failures_last_90_days,0.0003227880096742299,0.0323
27,late_delivery_rate,0.00023966189360785095,0.024
28,last_payment_failed,0.00012442822100330658,0.0124
29,payment_retries_last_90_days,0.0,0.0
30,benefits_used_count,0.0,0.0
31,age_group,0.0,0.0
32,acquisition_channel,0.0,0.0
33,repeat_contact_rate,0.0,0.0
34,plan_type,0.0,0.0
